"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA116","Allen","T_T","Population, all ages, administrative data","2001","2001","PER","Persons","0","Units",,,365954,,
"USA116","Allen","T_T","Population, all ages, administrative data","2002","2002","PER","Persons","0","Units",,,368402,,
"USA116","Allen","T_T","Population, all ages, administrative data","2003","2003","PER","Persons","0","Units",,,371190,,
"USA116","Allen","T_T","Population, all ages, administrative data","2004","2004","PER","Persons","0","Units",,,372757,,
"USA116","Allen","T_T","Population, all ages, administrative data","2005","2005","PER","Persons","0","Units",,,375420,,
"USA116","Allen","T_T","Population, all ages, administrative data","2006","2006","PER","Persons","0","Units",,,378911,,
"USA116","Allen","T_T","Population, all ages, administrative data","2007","2007","PER","Persons","0","Units",,,382387,,
"USA116","Allen","T_T","Population, all ages, administrative data","2008","2008","PER","Persons","0","Units",,,384311,,
"USA116","Allen","T_T","Population, all ages, administrative data","2009","2009","PER","Persons","0","Units",,,386818,,
"USA116","Allen","T_T","Population, all ages, administrative data","2010","2010","PER","Persons","0","Units",,,389307,,
"USA116","Allen","T_T","Population, all ages, administrative data","2011","2011","PER","Persons","0","Units",,,392370,,
"USA116","Allen","T_T","Population, all ages, administrative data","2012","2012","PER","Persons","0","Units",,,394282,,
"USA116","Allen","T_T","Population, all ages, administrative data","2013","2013","PER","Persons","0","Units",,,396719,,
"USA116","Allen","T_T","Population, all ages, administrative data","2014","2014","PER","Persons","0","Units",,,398703,,
"USA116","Allen","T_T","Population, all ages, administrative data","2015","2015","PER","Persons","0","Units",,,400959,,
"USA116","Allen","T_T","Population, all ages, administrative data","2016","2016","PER","Persons","0","Units",,,403005,,
"USA116","Allen","T_T","Population, all ages, administrative data","2017","2017","PER","Persons","0","Units",,,405535,,
"USA116","Allen","T_T","Population, all ages, administrative data","2018","2018","PER","Persons","0","Units",,,409112,,
"USA116","Allen","T_T","Population, all ages, administrative data","2019","2019","PER","Persons","0","Units",,,412874,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2001","2001","USD","US Dollar","0","Units",,,41420,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2002","2002","USD","US Dollar","0","Units",,,41001,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2003","2003","USD","US Dollar","0","Units",,,42054,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2004","2004","USD","US Dollar","0","Units",,,43302,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2005","2005","USD","US Dollar","0","Units",,,43915,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2006","2006","USD","US Dollar","0","Units",,,45758,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2007","2007","USD","US Dollar","0","Units",,,47560,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2008","2008","USD","US Dollar","0","Units",,,49711,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2009","2009","USD","US Dollar","0","Units",,,49191,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2010","2010","USD","US Dollar","0","Units",,,48137,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2011","2011","USD","US Dollar","0","Units",,,48308,,
"USA141","Potter","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2012","2012","USD","US Dollar","0","Units",,,48056,,
